address,decorated
0x00474A28,_CLSID_DirectMusicSysExTrack
0x00474A38,_CLSID_DirectMusicSeqTrack
0x00474A48,_CLSID_DirectMusicTempoTrack
0x00474A58,_CLSID_DirectMusicGraph
0x00474A68,_CLSID_DirectMusicSegmentState
0x00474A78,_CLSID_DirectMusicSegment
0x00474A88,_CLSID_DirectMusicPerformance
0x00474A98,_GUID_DMUS_PROP_Volume
0x00474AA8,_GUID_DMUS_PROP_LegacyCaps
0x00474AB8,_GUID_DMUS_PROP_Effects
0x00474AC8,_GUID_DMUS_PROP_WavesReverb
0x00474AD8,_GUID_DMUS_PROP_MemorySize
0x00474AE8,_GUID_DMUS_PROP_WritePeriod
0x00474AF8,_GUID_DMUS_PROP_WriteLatency
0x00474B08,_GUID_DMUS_PROP_SamplePlaybackRate
0x00474B18,_GUID_DMUS_PROP_SampleMemorySize
0x00474B28,_GUID_DMUS_PROP_SynthSink_WAVE
0x00474B38,_GUID_DMUS_PROP_SynthSink_DSOUND
0x00474B48,_GUID_DMUS_PROP_INSTRUMENT2
0x00474B58,_GUID_DMUS_PROP_DLS2
0x00474B68,_GUID_DMUS_PROP_DLS1
0x00474B78,_GUID_DMUS_PROP_GS_Capable
0x00474B88,_GUID_DMUS_PROP_XG_Capable
0x00474B98,_GUID_DMUS_PROP_XG_Hardware
0x00474BA8,_GUID_DMUS_PROP_GS_Hardware
0x00474BB8,_GUID_DMUS_PROP_GM_Hardware
0x00474BC8,_IID_IDirectMusic2
0x00474BD8,_IID_IDirectMusicDownloadedInstrument
0x00474BE8,_IID_IDirectMusicInstrument
0x00474BF8,_IID_IDirectMusicCollection
0x00474C08,_IID_IDirectMusicDownload
0x00474C18,_IID_IDirectMusicPortDownload
0x00474C28,_IID_IDirectMusicThru
0x00474C38,_IID_IDirectMusicPort
0x00474C48,_IID_IDirectMusicBuffer
0x00474C58,_IID_IDirectMusic
0x00474C68,_CLSID_DirectMusicSynth
0x00474C78,_CLSID_DirectMusicCollection
0x00474C88,_CLSID_DirectMusic
0x00474C98,_IID_IReferenceClock
0x00474CA8,_DS3DALG_HRTF_LIGHT
0x00474CB8,_DS3DALG_HRTF_FULL
0x00474CC8,_DS3DALG_NO_VIRTUALIZATION
0x00474CD8,_IID_IKsPropertySet
0x00474CE8,_IID_IDirectSoundNotify
0x00474CF8,_IID_IDirectSoundCaptureBuffer
0x00474D08,_IID_IDirectSoundCapture
0x00474D18,_IID_IDirectSound3DBuffer
0x00474D28,_IID_IDirectSound3DListener
0x00474D38,_IID_IDirectSoundBuffer
0x00474D48,_IID_IDirectSound
0x00474D58,_CLSID_DirectSoundCapture
0x00474D68,_CLSID_DirectSound
0x00474D78,_DPAID_ComPort
0x00474D88,_DPAID_INetPort
0x00474D98,_DPAID_INetW
0x00474DA8,_DPAID_INet
0x00474DB8,_DPAID_ModemW
0x00474DC8,_DPAID_Modem
0x00474DD8,_DPAID_PhoneW
0x00474DE8,_DPAID_Phone
0x00474DF8,_DPAID_LobbyProvider
0x00474E08,_DPAID_ServiceProvider
0x00474E18,_DPAID_TotalSize
0x00474E28,_DPLPROPERTY_PlayerScore
0x00474E38,_DPLPROPERTY_PlayerGuid
0x00474E48,_DPLPROPERTY_LobbyGuid
0x00474E58,_DPLPROPERTY_MessagesSupported
0x00474E68,_CLSID_DirectPlayLobby
0x00474E78,_IID_IDirectPlayLobby3A
0x00474E88,_IID_IDirectPlayLobby3
0x00474E98,_IID_IDirectPlayLobby2A
0x00474EA8,_IID_IDirectPlayLobby2
0x00474EB8,_IID_IDirectPlayLobbyA
0x00474EC8,_IID_IDirectPlayLobby
0x00474ED8,_IID_IDirectPlay
0x00474EE8,_DPSPGUID_MODEM
0x00474EF8,_DPSPGUID_SERIAL
0x00474F08,_DPSPGUID_TCPIP
0x00474F18,_DPSPGUID_IPX
0x00474F28,_CLSID_DirectPlay
0x00474F38,_IID_IDirectPlay4A
0x00474F48,_IID_IDirectPlay4
0x00474F58,_IID_IDirectPlay3A
0x00474F68,_IID_IDirectPlay3
0x00474F78,_IID_IDirectPlay2A
0x00474F88,_IID_IDirectPlay2
0x00474F98,_GUID_HIDClass
0x00474FA8,_GUID_MouseClass
0x00474FB8,_GUID_MediaClass
0x00474FC8,_GUID_KeyboardClass
0x00474FD8,_IID_IDirectInputPIDDriver
0x00474FE8,_IID_IDirectInputJoyConfig
0x00474FF8,_IID_IDirectInputEffectDriver
0x00475008,_GUID_CustomForce
0x00475018,_GUID_Friction
0x00475028,_GUID_Inertia
0x00475038,_GUID_Damper
0x00475048,_GUID_Spring
0x00475058,_GUID_SawtoothDown
0x00475068,_GUID_SawtoothUp
0x00475078,_GUID_Triangle
0x00475088,_GUID_Sine
0x00475098,_GUID_Square
0x004750A8,_GUID_RampForce
0x004750B8,_GUID_ConstantForce
0x004750C8,_GUID_SysKeyboardEm2
0x004750D8,_GUID_SysKeyboardEm
0x004750E8,_GUID_SysMouseEm2
0x004750F8,_GUID_SysMouseEm
0x00475108,_GUID_Joystick
0x00475118,_GUID_SysKeyboard
0x00475128,_GUID_SysMouse
0x00475138,_GUID_Unknown
0x00475148,_GUID_POV
0x00475158,_GUID_Key
0x00475168,_GUID_Button
0x00475178,_GUID_Slider
0x00475188,_GUID_RzAxis
0x00475198,_GUID_RyAxis
0x004751A8,_GUID_RxAxis
0x004751B8,_GUID_ZAxis
0x004751C8,_GUID_YAxis
0x004751D8,_GUID_XAxis
0x004751E8,_IID_IDirectInputDevice7W
0x004751F8,_IID_IDirectInputDevice7A
0x00475208,_IID_IDirectInputEffect
0x00475218,_IID_IDirectInputDevice2W
0x00475228,_IID_IDirectInputDevice2A
0x00475238,_IID_IDirectInputDeviceW
0x00475248,_IID_IDirectInputDeviceA
0x00475258,_IID_IDirectInput7W
0x00475268,_IID_IDirectInput7A
0x00475278,_IID_IDirectInput2W
0x00475288,_IID_IDirectInput2A
0x00475298,_IID_IDirectInputW
0x004752A8,_IID_IDirectInputA
0x004752B8,_CLSID_DirectInputDevice
0x004752C8,_CLSID_DirectInput
0x004752D8,_TID_DXFILEHeader
0x004752E8,_IID_IDirectXFileBinary
0x004752F8,_IID_IDirectXFileDataReference
0x00475308,_IID_IDirectXFileData
0x00475318,_IID_IDirectXFileObject
0x00475328,_IID_IDirectXFileSaveObject
0x00475338,_IID_IDirectXFileEnumObject
0x00475348,_IID_IDirectXFile
0x00475358,_CLSID_CDirectXFile
0x00475368,_TID_D3DRMRightHanded
0x00475378,_TID_D3DRMPropertyBag
0x00475388,_TID_D3DRMStringProperty
0x00475398,_TID_D3DRMExternalVisual
0x004753A8,_TID_D3DRMProgressiveMesh
0x004753B8,_TID_D3DRMUrl
0x004753C8,_TID_D3DRMInlineData
0x004753D8,_TID_D3DRMLightAttenuation
0x004753E8,_TID_D3DRMLightPenumbra
0x004753F8,_TID_D3DRMLightRange
0x00475408,_TID_D3DRMLightUmbra
0x00475418,_TID_D3DRMAppData
0x00475428,_TID_D3DRMCamera
0x00475438,_TID_D3DRMLight
0x00475448,_TID_D3DRMFrameRotation
0x00475458,_TID_D3DRMFrameVelocity
0x00475468,_TID_D3DRMFramePosition
0x00475478,_TID_D3DRMAnimationOptions
0x00475488,_TID_D3DRMTimedFloatKeys
0x00475498,_TID_D3DRMBoolean2d
0x004754A8,_TID_D3DRMMeshFaceWraps
0x004754B8,_TID_D3DRMBoolean
0x004754C8,_TID_D3DRMMaterialWrap
0x004754D8,_TID_D3DRMMeshVertexColors
0x004754E8,_TID_D3DRMIndexedColor
0x004754F8,_TID_D3DRMTextureReference
0x00475508,_TID_D3DRMTextureFilename
0x00475518,_TID_D3DRMGuid
0x00475528,_TID_D3DRMColorRGB
0x00475538,_TID_D3DRMColorRGBA
0x00475548,_TID_D3DRMMaterialPower
0x00475558,_TID_D3DRMMaterialEmissiveColor
0x00475568,_TID_D3DRMMaterialSpecularColor
0x00475578,_TID_D3DRMMaterialDiffuseColor
0x00475588,_TID_D3DRMMaterialAmbientColor
0x00475598,_TID_D3DRMFloatKeys
0x004755A8,_TID_D3DRMAnimationKey
0x004755B8,_TID_D3DRMAnimationSet
0x004755C8,_TID_D3DRMAnimation
0x004755D8,_TID_D3DRMMatrix4x4
0x004755E8,_TID_D3DRMCoords2d
0x004755F8,_TID_D3DRMMeshNormals
0x00475608,_TID_D3DRMMeshTextureCoords
0x00475618,_TID_D3DRMMeshMaterialList
0x00475628,_TID_D3DRMFrameTransformMatrix
0x00475638,_TID_D3DRMFrame
0x00475648,_TID_D3DRMMaterialArray
0x00475658,_TID_D3DRMMaterial
0x00475668,_TID_D3DRMMeshFace
0x00475678,_TID_D3DRMVector
0x00475688,_TID_D3DRMMesh
0x00475698,_TID_D3DRMInfo
0x004756A8,_IID_IDirect3DRMWinDevice
